Week,Price
04/01/2022,5.41
04/08/2022,6.08
04/15/2022,6.64
04/22/2022,7.1
04/29/2022,6.81
05/06/2022,8.04
05/13/2022,7.47
05/20/2022,8.21
05/27/2022,8.79
06/03/2022,8.54
06/10/2022,8.95
06/17/2022,7.93
06/24/2022,6.43
07/01/2022,6.35
07/08/2022,5.9
07/15/2022,6.76
07/22/2022,7.76
07/29/2022,8.74
08/05/2022,8.14
08/12/2022,8.15
08/19/2022,9.19
08/26/2022,9.56
09/02/2022,9.17
09/09/2022,8.3
09/16/2022,8.42
09/23/2022,7.69
09/30/2022,6.63
10/07/2022,6.01
10/14/2022,6.29
10/21/2022,5.48
10/28/2022,5.12
11/04/2022,4.57
11/11/2022,4.34
11/18/2022,6.06
11/25/2022,6.41
12/02/2022,6.06
12/09/2022,4.6
12/16/2022,6.78
12/23/2022,6.35
12/30/2022,4.06
01/06/2023,3.65
01/13/2023,3.46
01/20/2023,3.17
01/27/2023,3.08
02/03/2023,2.64
02/10/2023,2.34
02/17/2023,2.41
02/24/2023,2.18
03/03/2023,2.6
03/10/2023,2.48
03/17/2023,2.47
03/24/2023,2.06
03/31/2023,2.01
04/07/2023,2.14
04/14/2023,2.09
04/21/2023,2.21
04/28/2023,2.2
05/05/2023,2.03
05/12/2023,2.1
05/19/2023,2.29
05/26/2023,2.17
